,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
3379,600020.SH,20070601,5.0068,5.0966,4.5209,4.5579,5.0226,-0.4646999999999997,-9.2522,505996.23,458269.375
3380,600020.SH,20070531,4.954,5.1758,4.5156,5.0226,5.0173,0.005300000000000082,0.1056,581104.2,532252.134
3381,600020.SH,20070530,5.255,5.5349,5.0173,5.0173,5.5719,-0.5546000000000006,-9.9535,719846.51,714778.0329999999
3382,600020.SH,20070529,5.5085,5.6881,5.497999999999999,5.5719,5.4504,0.12150000000000015,2.2292,795461.0,841614.095
3383,600020.SH,20070528,5.2392,5.4663,5.1811,5.4504,5.1494,0.30100000000000016,5.8453,653225.46,652821.611
3384,600020.SH,20070525,5.0226,5.1705,5.0015,5.1494,5.0649,0.08450000000000024,1.6683,422573.82,409808.115
3385,600020.SH,20070524,5.2286,5.255,4.954,5.0649,5.1758,-0.1109,-2.1427,569554.0,546387.594
3386,600020.SH,20070523,4.8906,5.2022,4.8747,5.1758,4.8747,0.3010999999999999,6.1768,603035.95,576284.432
3387,600020.SH,20070522,4.7955,4.9381,4.7955,4.8747,4.7691,0.10559999999999993,2.2143,407915.73,376648.216
3388,600020.SH,20070521,4.5684,4.7955,4.5262,4.7691,4.7586,0.01049999999999951,0.2207,323823.47,289065.9
3389,600020.SH,20070517,4.7216,4.7902,4.6846,4.7586,4.7057,0.05290000000000017,1.1242,274677.47,247473.91
3390,600020.SH,20070516,4.5684,4.711,4.5156,4.7057,4.5896,0.11610000000000033,2.5296,289652.06,252753.857
3391,600020.SH,20070515,4.8536,4.8853,4.5843,4.5896,4.8378,-0.2481999999999997,-5.1304,432196.81,386385.87799999997
3392,600020.SH,20070514,4.8061,4.9223,4.7586,4.8378,4.8642,-0.026400000000000645,-0.5427,331434.98,304241.984
3393,600020.SH,20070511,4.8695,4.9434,4.8008,4.8642,4.954,-0.08979999999999944,-1.8127,322591.01,297118.73699999996
3394,600020.SH,20070510,4.8853,5.0068,4.7955,4.954,4.8906,0.06339999999999968,1.2964,477272.94,442969.89200000005
3395,600020.SH,20070509,4.8853,5.0068,4.7005,4.8906,4.8642,0.02639999999999976,0.5427,483649.04,445318.283
3396,600020.SH,20070508,4.785,4.9012,4.7427,4.8642,4.6952,0.16900000000000048,3.5994,447642.85,409278.35
3397,600020.SH,20070430,4.7269,4.8272,4.6793,4.6952,4.7533,-0.058100000000000485,-1.2223,408241.23,364883.388
3398,600020.SH,20070427,4.8589,4.8642,4.7005,4.7533,4.8853,-0.13199999999999967,-2.702,401931.73,363161.781
3399,600020.SH,20070426,4.6793,4.9593,4.6741,4.8853,4.6476,0.23770000000000024,5.1145,582898.95,528729.4839999999
3400,600020.SH,20070425,4.711,4.7163,4.4945,4.6476,4.6424,0.005199999999999427,0.11199999999999999,792697.87,697526.345
3401,600020.SH,20070424,4.4364,4.7005,4.3994,4.6424,4.373,0.2694000000000001,6.1605,640346.7,557405.145
3402,600020.SH,20070423,4.1565,4.4205,4.1565,4.373,4.1195,0.25349999999999984,6.1537,434237.57,354911.80700000003
3403,600020.SH,20070420,3.9347,4.167,3.9347,4.1195,3.8977,0.22180000000000044,5.6905,418808.18,321857.74600000004
3404,600020.SH,20070419,4.0878,4.2199,3.7498,3.8977,4.1353,-0.23760000000000006,-5.7457,588222.97,450116.528
3405,600020.SH,20070418,3.9611,4.1459,3.8977,4.1353,3.9399,0.1953999999999998,4.9595,532729.95,404371.677
3406,600020.SH,20070417,3.9241,3.9558,3.8132,3.9399,3.903,0.03690000000000016,0.9454,463912.95,342264.396
3407,600020.SH,20070416,3.866,3.9188,3.8289999999999997,3.903,3.8502,0.052799999999999965,1.3714,330573.85,243169.775
3408,600020.SH,20070413,3.9082,3.9505,3.8289999999999997,3.8502,3.8079,0.0423,1.1108,572336.15,420651.112
3409,600020.SH,20070411,3.7234,3.8185,3.6759,3.8079,3.7234,0.08450000000000024,2.2694,450351.5,318695.04600000003
3410,600020.SH,20070410,3.7657,3.7762,3.6336,3.7234,3.7657,-0.0423,-1.1233,324404.68,228020.112
3411,600020.SH,20070409,3.7287,3.8185,3.7234,3.7657,3.7287,0.03699999999999992,0.9923,368018.13,262034.553
3412,600020.SH,20070406,3.6759,3.7657,3.6495,3.7287,3.7128,0.015899999999999803,0.4282,320933.42,225474.349
3413,600020.SH,20070405,3.6759,3.7234,3.6442,3.7128,3.6759,0.03690000000000016,1.0038,209028.33,146301.467
3414,600020.SH,20070404,3.7181,3.7287,3.6442,3.6759,3.7181,-0.04220000000000024,-1.135,306728.29,213773.556
3415,600020.SH,20070403,3.7234,3.7604,3.6811,3.7181,3.6706,0.04750000000000032,1.2941,839901.76,590276.2679999999
3416,600020.SH,20070402,3.5121,3.6811,3.4752,3.6706,3.5069,0.16369999999999996,4.6679,491055.25,334283.146
3417,600020.SH,20070330,3.3801,3.5597,3.3643,3.5069,3.3960000000000004,0.1109,3.2656,322779.64,212388.71399999998
3418,600020.SH,20070329,3.528,3.5385,3.3907,3.3960000000000004,3.5069,-0.1109,-3.1623,375228.91,245913.85199999998
3419,600020.SH,20070328,3.5544,3.5914,3.3431,3.5069,3.5702,-0.06329999999999991,-1.7730000000000001,550832.79,363185.01399999997
3420,600020.SH,20070327,3.5544,3.6389,3.5174,3.5702,3.5491,0.021099999999999675,0.5945,369236.64,250444.896
3421,600020.SH,20070326,3.5121,3.5966,3.4857,3.5491,3.491,0.05810000000000004,1.6643,419609.04,281799.438
3422,600020.SH,20070323,3.3273,3.5227,3.3167,3.491,3.3273,0.16369999999999996,4.9199,498662.97,321742.216
3423,600020.SH,20070322,3.3009,3.4065,3.285,3.3273,3.285,0.0423,1.2877,457206.28,290491.481
3424,600020.SH,20070321,3.2745,3.3009,3.2375,3.285,3.2692,0.015800000000000036,0.4833,224746.4,139337.335
